mushaf_id,page_number,juz_number,start_text
1,242,13,"وَمَا أُبَرِّئُ نَفْسِي"
1,243,13,"قَالَ هَلْ آمَنُكُمْ"
1,244,13,"فَلَمَّا جَهَّزَهُمْ بِجَهَازِهِمْ"
1,245,13,"قَالَ مَعَاذَ اللَّهِ"
1,246,13,"يَابَنِيَّ اذْهَبُوا فَتَحَسَّسُوا"
1,247,13,"فَلَمَّا أَنْ جَاءَ"
1,248,13,"وَمَا تَسْأَلُهُمْ عَلَيْهِ"
1,249,13,"المر تِلْكَ آيَاتُ"
1,250,13,"وَيَسْتَعْجِلُونَكَ بِالسَّيِّئَةِ قَبْلَ"
1,251,13,"لَهُ دَعْوَةُ الْحَقِّ"
1,252,13,"أَفَمَنْ يَعْلَمُ أَنَّمَا"
1,253,13,"الَّذِينَ آمَنُوا وَعَمِلُوا"
1,254,13,"مَثَلُ الْجَنَّةِ الَّتِي"
1,255,13,"وَيَقُولُ الَّذِينَ كَفَرُوا"
1,256,13,"وَإِذْ قَالَ مُوسَى"
1,257,13,"قَالَتْ لَهُمْ رُسُلُهُمْ"
1,258,13,"أَلَمْ تَرَ أَنَّ"
1,259,13,"تُؤْتِي أُكُلَهَا كُلَّ"
1,260,13,"وَآتَاكُمْ مِنْ كُلِّ"
1,261,13,"مُهْطِعِينَ مُقْنِعِي رُءُوسِهِمْ"
1,262,14,"الر تِلْكَ آيَاتُ"
1,263,14,"وَلَقَدْ جَعَلْنَا فِي"
1,264,14,"قَالَ يَاإِبْلِيسُ مَا"
1,265,14,"إِذْ دَخَلُوا عَلَيْهِ"
1,266,14,"قَالَ هَؤُلَاءِ بَنَاتِي"
1,267,14,"الَّذِينَ جَعَلُوا الْقُرْآنَ"
1,268,14,"وَتَحْمِلُ أَثْقَالَكُمْ إِلَى"
1,269,14,"وَأَلْقَى فِي الْأَرْضِ"
1,270,14,"ثُمَّ يَوْمَ الْقِيَامَةِ"
1,271,14,"وَقَالَ الَّذِينَ أَشْرَكُوا"
1,272,14,"وَمَا أَرْسَلْنَا مِنْ"
1,273,14,"لِيَكْفُرُوا بِمَا آتَيْنَاهُمْ"
1,274,14,"وَاللَّهُ أَنْزَلَ مِنَ"
1,275,14,"وَيَعْبُدُونَ مِنْ دُونِ"
1,276,14,"وَاللَّهُ جَعَلَ لَكُمْ"
1,277,14,"الَّذِينَ كَفَرُوا وَصَدُّوا"
1,278,14,"وَلَا تَتَّخِذُوا أَيْمَانَكُمْ"
1,279,14,"وَلَقَدْ نَعْلَمُ أَنَّهُمْ"
1,280,14,"يَوْمَ تَأْتِي كُلُّ"
