id,page,juz,surah,description,start
592,592,Juz 30,88. Ghashiyah,88 Ghashiyah Start,وَيَتَجَنَّبُهَا الْأَشْقَى الَّذِي
593,593,Juz 30,89. Fajr,89 Fajr Start,إِلَّا مَنْ تَوَلَّى
594,594,Juz 30,90. Balad,90 Balad Start,وَجِيءَ يَوْمَئِذٍ بِجَهَنَّمَ
595,595,Juz 30,91. Shams,91 Shams Start,وَالَّذِينَ كَفَرُوا بِآيَاتِنَا
596,596,Juz 30,93. Dhuhaa,93 Dhuhaa Start,فَسَنُيَسِّرُهُ لِلْعُسْرَى وَمَا
597,597,Juz 30,95. Tin,95 Tin Start,الَّذِي أَنْقَضَ ظَهْرَكَ
598,598,Juz 30,97. Qadr,97 Qadr Start,أَرَأَيْتَ إِنْ كَذَّبَ
599,599,Juz 30,99. Zalzalah,99 Zalzalah Start,إِنَّ الَّذِينَ كَفَرُوا
600,600,Juz 30,101. Qari'ah,101 Qari'ah Start,إِنَّ الْإِنْسَانَ لِرَبِّهِ
601,601,Juz 30,103. Asr,103 Asr Start,وَالْعَصْرِ إِنَّ الْإِنْسَانَ
602,602,Juz 30,106. Quraysh,106 Quraysh Start,لِإِيلَافِ قُرَيْشٍ إِيلَافِهِمْ
603,603,Juz 30,109. Kafirun,109 Kafirun Start,قُلْ يَاأَيُّهَا الْكَافِرُونَ
604,604,Juz 30,112. Ikhlas,112 Ikhlas Start,قُلْ هُوَ اللَّهُ
